Id,SalePrice
1461,121289.97367717166
1462,122421.71734955261
1463,203662.30803354867
1464,198924.0918070396
1465,194928.7532812544
1466,198951.15327043086
1467,233579.3109993796
1468,196985.50697500992
1469,156624.18958732917
1470,154439.59145174245
1471,233090.89211580038
1472,109060.65235734993
1473,106938.87009018866
1474,189455.03975312813
1475,109798.69226802113
1476,202466.68337826134
1477,202497.43504120596
1478,200820.85437746457
1479,204021.487456742
1480,241353.33139178288
1481,240553.78815522243
1482,197545.10476458378
1483,209399.33827249944
1484,192712.17341620525
1485,240123.26487399754
1486,197200.76861562234
1487,205972.45542996796
1488,199826.87815507557
1489,200107.33332113063
1490,238727.05690029278
1491,201312.8809845787
1492,119048.7924817668
1493,242718.7052265246
1494,237808.362163544
1495,235337.15852931325
1496,231832.534068106
1497,193095.95416975426
1498,192726.93421441867
1499,229014.45167585983
1500,229014.45167585983
1501,229550.76067761422
1502,191728.120201977
1503,162038.85992260175
1504,232840.04102219062
1505,233603.91232973532
1506,234503.1734302548
1507,234915.2457137129
1508,306079.7501568991
1509,114559.21464388722
1510,153793.8890059236
1511,154162.90896125918
1512,235670.42407961466
1513,199689.19318110208
1514,270821.6075066775
1515,198611.6549115221
1516,208004.4428413309
1517,158105.1896747427
1518,194697.66572794763
1519,233846.23543373903
1520,151887.2859033563
1521,118064.82174355697
1522,154325.27774160684
1523,115182.77589238595
1524,134943.7382937509
1525,118273.93305158048
1526,160819.94647949495
1527,131189.57528147008
1528,151904.5068346053
1529,114263.9162036003
1530,156112.4819159305
1531,147889.569720554
1532,149623.8810346129
1533,163606.15588745926
1534,113359.81731302809
1535,119449.87664258323
1536,115006.87638034264
1537,118871.66290320571
1538,198459.12666331674
1539,279499.21650491375
1540,195654.65747878462
1541,119983.64303528365
1542,112043.64613899778
1543,114458.26671341038
1544,150257.36529127232
1545,151487.43180905766
1546,126733.12676355228
1547,112695.58139342401
1548,112252.75744702129
1549,114669.75567845102
1550,192204.32089639676
1551,151635.03979119187
1552,112706.7344681025
1553,120740.21641974006
1554,123126.5717334057
1555,205424.99335353504
1556,117950.42555740292
1557,154162.90896125918
1558,112253.98751353906
1559,110683.27504634563
1560,233324.60475417963
1561,272005.99661126785
1562,151579.76927390997
1563,153740.91366964037
1564,151117.2642632227
1565,116560.53286832393
